datetime,cpu,mem
Wed Oct 26 23:17:43 GMT 2022,0.6,1423893
Wed Oct 26 23:17:44 GMT 2022,1.1,1423837
Wed Oct 26 23:17:45 GMT 2022,1.1,1484748
Wed Oct 26 23:17:47 GMT 2022,1.1,1504787
Wed Oct 26 23:17:48 GMT 2022,1.1,1517683
Wed Oct 26 23:17:49 GMT 2022,1.1,1532779
Wed Oct 26 23:17:50 GMT 2022,38,1454025
Wed Oct 26 23:17:51 GMT 2022,38,1459885
Wed Oct 26 23:17:52 GMT 2022,38,1471937
Wed Oct 26 23:17:54 GMT 2022,38,1485350
Wed Oct 26 23:17:55 GMT 2022,38,1475835
Wed Oct 26 23:17:56 GMT 2022,38,1487587
Wed Oct 26 23:17:57 GMT 2022,38,1497985
Wed Oct 26 23:17:58 GMT 2022,38,1508327
Wed Oct 26 23:17:59 GMT 2022,38,1518847
Wed Oct 26 23:18:01 GMT 2022,38,1531171
Wed Oct 26 23:18:02 GMT 2022,36,1543535
Wed Oct 26 23:18:03 GMT 2022,36,1555019
Wed Oct 26 23:18:04 GMT 2022,36,1566799
Wed Oct 26 23:18:06 GMT 2022,36,1577171
Wed Oct 26 23:18:07 GMT 2022,36,1597751
Wed Oct 26 23:18:08 GMT 2022,36,1607544
Wed Oct 26 23:18:10 GMT 2022,36,1483344
Wed Oct 26 23:18:11 GMT 2022,36,1396668
Wed Oct 26 23:18:12 GMT 2022,36,1398616
Wed Oct 26 23:18:13 GMT 2022,33,1397104
Wed Oct 26 23:18:14 GMT 2022,33,1394768
Wed Oct 26 23:18:15 GMT 2022,33,1394796
Wed Oct 26 23:18:17 GMT 2022,33,1393896
Wed Oct 26 23:18:18 GMT 2022,33,1395524
Wed Oct 26 23:18:19 GMT 2022,17,1394492
Wed Oct 26 23:18:21 GMT 2022,17,1394036
Wed Oct 26 23:18:22 GMT 2022,17,1393868
Wed Oct 26 23:18:23 GMT 2022,17,1394448
Wed Oct 26 23:18:25 GMT 2022,12,1393020
Wed Oct 26 23:18:26 GMT 2022,12,1393068
Wed Oct 26 23:18:27 GMT 2022,12,1393212
Wed Oct 26 23:18:29 GMT 2022,12,1394204
Wed Oct 26 23:18:30 GMT 2022,12,1392476
Wed Oct 26 23:18:31 GMT 2022,12,1392676
Wed Oct 26 23:18:33 GMT 2022,12,1392740
Wed Oct 26 23:18:34 GMT 2022,12,1394000
Wed Oct 26 23:18:35 GMT 2022,12,1392604
Wed Oct 26 23:18:37 GMT 2022,12,1392712
Wed Oct 26 23:18:38 GMT 2022,12,1392472
Wed Oct 26 23:18:39 GMT 2022,12,1396644
Wed Oct 26 23:18:41 GMT 2022,15,1407060
Wed Oct 26 23:18:42 GMT 2022,15,1412486
Wed Oct 26 23:18:43 GMT 2022,15,1480400
Wed Oct 26 23:18:44 GMT 2022,15,1500852
Wed Oct 26 23:18:45 GMT 2022,15,1518360
Wed Oct 26 23:18:47 GMT 2022,37,1515980
Wed Oct 26 23:18:48 GMT 2022,37,1481248
Wed Oct 26 23:18:49 GMT 2022,37,1488912
Wed Oct 26 23:18:50 GMT 2022,37,1459936
Wed Oct 26 23:18:52 GMT 2022,37,1468328
Wed Oct 26 23:18:53 GMT 2022,26,1433096
Wed Oct 26 23:18:54 GMT 2022,26,1432728
Wed Oct 26 23:18:55 GMT 2022,26,1423840
Wed Oct 26 23:18:57 GMT 2022,26,1421912
Wed Oct 26 23:18:58 GMT 2022,16,1506150
Wed Oct 26 23:18:59 GMT 2022,16,1420024
Wed Oct 26 23:19:01 GMT 2022,16,1410872
Wed Oct 26 23:19:02 GMT 2022,16,1412348
Wed Oct 26 23:19:03 GMT 2022,13,1410716
Wed Oct 26 23:19:05 GMT 2022,13,1410816
Wed Oct 26 23:19:06 GMT 2022,13,1407008
Wed Oct 26 23:19:07 GMT 2022,13,1408392
Wed Oct 26 23:19:09 GMT 2022,12,1406896
Wed Oct 26 23:19:10 GMT 2022,12,1407088
Wed Oct 26 23:19:11 GMT 2022,12,1402776
Wed Oct 26 23:19:12 GMT 2022,12,1404332
Wed Oct 26 23:19:14 GMT 2022,13,1403052
Wed Oct 26 23:19:15 GMT 2022,13,1401636
Wed Oct 26 23:19:16 GMT 2022,13,1401888
Wed Oct 26 23:19:18 GMT 2022,13,1403324
Wed Oct 26 23:19:19 GMT 2022,13,1401964
Wed Oct 26 23:19:20 GMT 2022,13,1402020
Wed Oct 26 23:19:22 GMT 2022,13,1402204
Wed Oct 26 23:19:23 GMT 2022,13,1403880
Wed Oct 26 23:19:25 GMT 2022,13,1402196
Wed Oct 26 23:19:26 GMT 2022,13,1402176
Wed Oct 26 23:19:27 GMT 2022,13,1402044
Wed Oct 26 23:19:29 GMT 2022,13,1403632
Wed Oct 26 23:19:30 GMT 2022,12,1402200
Wed Oct 26 23:19:31 GMT 2022,12,1402376
Wed Oct 26 23:19:33 GMT 2022,12,1402232
Wed Oct 26 23:19:34 GMT 2022,12,1403836
Wed Oct 26 23:19:35 GMT 2022,12,1402384
Wed Oct 26 23:19:37 GMT 2022,12,1402500
Wed Oct 26 23:19:38 GMT 2022,12,1402456
Wed Oct 26 23:19:39 GMT 2022,12,1404032
Wed Oct 26 23:19:41 GMT 2022,12,1402620
Wed Oct 26 23:19:42 GMT 2022,12,1402548
Wed Oct 26 23:19:43 GMT 2022,12,1402832
Wed Oct 26 23:19:45 GMT 2022,12,1404472
Wed Oct 26 23:19:46 GMT 2022,12,1402776
Wed Oct 26 23:19:47 GMT 2022,12,1402836
Wed Oct 26 23:19:49 GMT 2022,12,1402956
Wed Oct 26 23:19:50 GMT 2022,12,1404620
Wed Oct 26 23:19:51 GMT 2022,13,1403116
Wed Oct 26 23:19:53 GMT 2022,13,1403148
Wed Oct 26 23:19:54 GMT 2022,13,1403348
Wed Oct 26 23:19:55 GMT 2022,13,1404972
Wed Oct 26 23:19:56 GMT 2022,12,1403712
Wed Oct 26 23:19:58 GMT 2022,12,1489838
Wed Oct 26 23:19:59 GMT 2022,12,1489794
Wed Oct 26 23:20:00 GMT 2022,12,1490854
Wed Oct 26 23:20:02 GMT 2022,14,1489546
Wed Oct 26 23:20:03 GMT 2022,14,1489590
Wed Oct 26 23:20:04 GMT 2022,14,1403748
Wed Oct 26 23:20:06 GMT 2022,14,1405272
Wed Oct 26 23:20:07 GMT 2022,13,1403796
Wed Oct 26 23:20:09 GMT 2022,13,1403956
Wed Oct 26 23:20:10 GMT 2022,13,1403564
Wed Oct 26 23:20:11 GMT 2022,13,1405160
Wed Oct 26 23:20:13 GMT 2022,13,1403828
Wed Oct 26 23:20:14 GMT 2022,13,1404020
Wed Oct 26 23:20:15 GMT 2022,13,1403856
Wed Oct 26 23:20:17 GMT 2022,13,1405564
Wed Oct 26 23:20:18 GMT 2022,12,1404116
Wed Oct 26 23:20:19 GMT 2022,12,1404256
Wed Oct 26 23:20:21 GMT 2022,12,1404484
Wed Oct 26 23:20:22 GMT 2022,12,1406024
Wed Oct 26 23:20:23 GMT 2022,12,1404756
Wed Oct 26 23:20:25 GMT 2022,12,1404948
Wed Oct 26 23:20:26 GMT 2022,12,1404948
Wed Oct 26 23:20:27 GMT 2022,12,1406572
Wed Oct 26 23:20:29 GMT 2022,13,1405000
Wed Oct 26 23:20:30 GMT 2022,13,1404936
Wed Oct 26 23:20:31 GMT 2022,13,1405028
Wed Oct 26 23:20:33 GMT 2022,13,1406816
Wed Oct 26 23:20:34 GMT 2022,12,1405416
Wed Oct 26 23:20:35 GMT 2022,12,1405400
Wed Oct 26 23:20:37 GMT 2022,12,1405520
Wed Oct 26 23:20:38 GMT 2022,12,1407004
Wed Oct 26 23:20:39 GMT 2022,12,1405744
Wed Oct 26 23:20:41 GMT 2022,12,1405792
Wed Oct 26 23:20:42 GMT 2022,12,1403352
Wed Oct 26 23:20:43 GMT 2022,12,1404948
Wed Oct 26 23:20:45 GMT 2022,13,1403672
Wed Oct 26 23:20:46 GMT 2022,13,1403444
Wed Oct 26 23:20:47 GMT 2022,13,1399860
Wed Oct 26 23:20:49 GMT 2022,13,1401440
Wed Oct 26 23:20:50 GMT 2022,12,1400136
Wed Oct 26 23:20:52 GMT 2022,12,1400216
Wed Oct 26 23:20:53 GMT 2022,12,1400108
Wed Oct 26 23:20:54 GMT 2022,12,1401828
Wed Oct 26 23:20:55 GMT 2022,12,1400440
Wed Oct 26 23:20:57 GMT 2022,12,1400324
Wed Oct 26 23:20:58 GMT 2022,12,1400328
Wed Oct 26 23:20:59 GMT 2022,12,1401724
Wed Oct 26 23:21:01 GMT 2022,13,1400264
Wed Oct 26 23:21:02 GMT 2022,13,1400572
Wed Oct 26 23:21:03 GMT 2022,13,1400560
Wed Oct 26 23:21:05 GMT 2022,13,1402140
Wed Oct 26 23:21:06 GMT 2022,12,1400720
Wed Oct 26 23:21:07 GMT 2022,12,1400780
Wed Oct 26 23:21:09 GMT 2022,12,1400896
Wed Oct 26 23:21:10 GMT 2022,12,1402512
Wed Oct 26 23:21:11 GMT 2022,12,1401288
Wed Oct 26 23:21:13 GMT 2022,12,1400944
Wed Oct 26 23:21:14 GMT 2022,12,1401328
Wed Oct 26 23:21:15 GMT 2022,12,1402744
Wed Oct 26 23:21:17 GMT 2022,12,1401292
Wed Oct 26 23:21:18 GMT 2022,12,1401336
Wed Oct 26 23:21:19 GMT 2022,12,1401416
Wed Oct 26 23:21:21 GMT 2022,12,1402976
Wed Oct 26 23:21:22 GMT 2022,12,1401572
Wed Oct 26 23:21:23 GMT 2022,12,1401676
Wed Oct 26 23:21:24 GMT 2022,12,1401636
Wed Oct 26 23:21:26 GMT 2022,12,1403236
Wed Oct 26 23:21:27 GMT 2022,12,1401656
Wed Oct 26 23:21:29 GMT 2022,12,1401952
Wed Oct 26 23:21:30 GMT 2022,12,1402052
Wed Oct 26 23:21:31 GMT 2022,12,1403444
Wed Oct 26 23:21:33 GMT 2022,12,1402396
Wed Oct 26 23:21:34 GMT 2022,12,1402492
Wed Oct 26 23:21:35 GMT 2022,12,1402580
Wed Oct 26 23:21:37 GMT 2022,12,1403920
Wed Oct 26 23:21:38 GMT 2022,13,1402564
Wed Oct 26 23:21:39 GMT 2022,13,1402744
Wed Oct 26 23:21:41 GMT 2022,13,1402940
Wed Oct 26 23:21:42 GMT 2022,13,1404356
Wed Oct 26 23:21:43 GMT 2022,12,1402916
Wed Oct 26 23:21:45 GMT 2022,12,1403060
Wed Oct 26 23:21:46 GMT 2022,12,1403288
